GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onap-kafka-client,org.onap.dmaap.kafka,OnapKafkaConsumer,42,143,2,4,9,30,2,5,1,3
onap-kafka-client,org.onap.dmaap.kafka,IKafkaConfig,16,2,2,0,6,1,4,1,3,1
onap-kafka-client,org.onap.dmaap.kafka,OnapKafkaProducer,0,122,0,0,0,22,0,2,0,2
onap-kafka-client,org.onap.dmaap.kafka,OnapKafkaClient,8,66,0,4,3,17,0,5,0,3
